2026-04-11T11:03:14 UTC | Loading BPF program from /home/litaliano00-dev/PysiAdmin/ebpf/probes/exec_monitor.c
2026-04-11T11:03:18 UTC | Tracing execve syscalls — Ctrl+C to stop.
2026-04-11T11:04:03 UTC | EXEC | pid=353041 ppid=331666 uid=1000   comm=ptyxis-agent         file=
2026-04-11T11:04:03 UTC | EXEC | pid=353041 ppid=331666 uid=1000   comm=ptyxis-agent         file=
2026-04-11T11:04:03 UTC | EXEC | pid=353041 ppid=331666 uid=1000   comm=ptyxis-agent         file=
2026-04-11T11:04:03 UTC | EXEC | pid=353041 ppid=331666 uid=1000   comm=ptyxis-agent         file=
2026-04-11T11:04:03 UTC | EXEC | pid=353041 ppid=331666 uid=1000   comm=ptyxis-agent         file=
2026-04-11T11:04:03 UTC | EXEC | pid=353041 ppid=331666 uid=1000   comm=ptyxis-agent         file=
2026-04-11T11:04:03 UTC | EXEC | pid=353041 ppid=331666 uid=1000   comm=systemd-run          file=
2026-04-11T11:04:03 UTC | EXEC | pid=353044 ppid=353041 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353045 ppid=353044 uid=1000   comm=grepconf.sh          file=
2026-04-11T11:04:03 UTC | EXEC | pid=353047 ppid=353046 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353048 ppid=353041 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353049 ppid=353041 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353050 ppid=353049 uid=1000   comm=grepconf.sh          file=
2026-04-11T11:04:03 UTC | EXEC | pid=353051 ppid=353041 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353052 ppid=353051 uid=1000   comm=grepconf.sh          file=
2026-04-11T11:04:03 UTC | EXEC | pid=353054 ppid=353053 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353056 ppid=353041 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353058 ppid=353057 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353059 ppid=353041 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353064 ppid=353063 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353063 ppid=353041 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353068 ppid=353066 uid=1000   comm=bash                 file=
2026-04-11T11:04:03 UTC | EXEC | pid=353069 ppid=353041 uid=1000   comm=bash                 file=
2026-04-11T11:04:07 UTC | EXEC | pid=353074 ppid=353072 uid=1000   comm=bash                 file=
2026-04-11T11:04:07 UTC | EXEC | pid=353075 ppid=353041 uid=1000   comm=bash                 file=
2026-04-11T11:04:09 UTC | EXEC | pid=353078 ppid=353041 uid=1000   comm=bash                 file=
2026-04-11T11:04:09 UTC | EXEC | pid=353082 ppid=353080 uid=1000   comm=bash                 file=
2026-04-11T11:04:09 UTC | EXEC | pid=353083 ppid=353041 uid=1000   comm=bash                 file=
2026-04-11T11:07:00 UTC | EXEC | pid=353164 ppid=903    uid=0      comm=(sd-worker)          file=
2026-04-11T11:08:16 UTC | EXEC | pid=353182 ppid=903    uid=0      comm=(sd-worker)          file=
2026-04-11T11:08:16 UTC | EXEC | pid=353183 ppid=903    uid=0      comm=(sd-worker)          file=
2026-04-11T11:09:01 UTC | EXEC | pid=353202 ppid=4716   uid=1000   comm=pool-1451            file=
2026-04-11T11:09:01 UTC | EXEC | pid=353202 ppid=4716   uid=1000   comm=xdg-desktop-por      file=
2026-04-11T11:09:01 UTC | EXEC | pid=353205 ppid=353203 uid=1000   comm=bwrap                file=
2026-04-11T11:09:01 UTC | EXEC | pid=353210 ppid=353205 uid=1000   comm=blocking-2           file=
2026-04-11T11:09:01 UTC | EXEC | pid=353212 ppid=353211 uid=1000   comm=bwrap                file=
