2026-04-11T11:00:23 UTC | INFO | SYS | event='agent_start' | detail='bot=[OPFTS] PysiAdmin#1607'
2026-04-11T11:09:00 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.status' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:09:01 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.status' | status='OK' | detail=''
2026-04-11T11:09:18 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.run uptime' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:09:23 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.help' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:13:22 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.status' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:13:23 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.status' | status='OK' | detail=''
2026-04-11T11:13:51 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.help' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:13:52 UTC | INFO | CMD | user_id='1267492109846446187' | cmd='.help' | status='DENIED' | detail='not in whitelist'
2026-04-11T11:14:59 UTC | INFO | CMD | user_id='1267492109846446187' | cmd='.help' | status='DENIED' | detail='not in whitelist'
2026-04-11T11:19:56 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.help' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:20:10 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec ls' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:20:10 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec ls' | status='DENIED' | detail='not whitelisted'
2026-04-11T11:20:56 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec lsblk' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:20:56 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec lsblk' | status='DENIED' | detail='not whitelisted'
2026-04-11T11:53:13 UTC | INFO | SYS | event='agent_start' | detail='bot=[OPFTS] PysiAdmin#1607'
2026-04-11T11:53:50 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec ls' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:53:50 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec ls' | status='EXECUTING' | detail=''
2026-04-11T11:53:50 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec ls' | status='OK' | detail='rc=0'
2026-04-11T11:54:08 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec cd' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:54:08 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec cd' | status='DENIED' | detail='not whitelisted'
2026-04-11T11:55:25 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec tree' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:55:25 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec tree' | status='DENIED' | detail='not whitelisted'
2026-04-11T11:55:37 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec sudo dnf update' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:55:37 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec sudo dnf update' | status='DENIED' | detail='not whitelisted'
2026-04-11T11:55:52 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.lsblk' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:56:02 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec lsblk' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:56:02 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec lsblk' | status='EXECUTING' | detail=''
2026-04-11T11:56:02 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec lsblk' | status='OK' | detail='rc=0'
2026-04-11T11:56:27 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.help' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:56:43 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec ls' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:56:43 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec ls' | status='EXECUTING' | detail=''
2026-04-11T11:56:44 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec ls' | status='OK' | detail='rc=0'
2026-04-11T11:56:52 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec ls /tmp' | status='RECEIVED' | detail='tier=OWNER'
2026-04-11T11:56:52 UTC | INFO | CMD | user_id='1293232588189859911' | cmd='.exec ls /tmp' | status='EXECUTING' | detail=''
2026-04-11T11:56:52 UTC | ERROR | ERR | context='on_command_error' | error='Command raised an exception: HTTPException: 400 Bad Request (error code: 50035): Invalid Form Body\nIn embeds.0.fields.1.value: Must be 1024 or fewer in length.'
2026-04-11T11:56:56 UTC | INFO | CMD | user_id='1267492109846446187' | cmd='.help' | status='DENIED' | detail='not in whitelist'
